store,address,phone,address2,_GC_TYPE,_X,_Y
논현동수면센터점,서울시 강남구 논현로 717 1층,02-3443-5575,서울특별시 강남구 논현로 717 1층,정,127.02953731651846,37.51596164222452
반포엘루체점,서울시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,02-3477-5571,서울특별시 서초구 신반포로 23 1141호 엘루체백화점내1층1013~1015호,정,126.98723202943225,37.50174874109423
서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호",02-3477-5580,"서울특별시 서초구 서초동 1685-8호 101~2호,113~4호,121호",정,127.01646563906931,37.49540542973758
삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층,02-2055-1142,서울특별시 서초구 서초대로74길 11 지하2층,정,127.0269145455737,37.496633268318895
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,02-538-9927,서울특별시 강남구 테헤란로 70길 12 1층,정,127.05315917786214,37.50474222926693
역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층,02-554-9962,서울특별시 강남구 테헤란로 20길 10 쓰리엠타워1층,정,127.03414135825331,37.49908664444383
삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,02-581-5562,서울특별시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층,정,127.02570336290644,37.49674468706047
방배카페골목점,서울특별시 서초구 방배중앙로 187,02-592-7794,서울특별시 서초구 방배중앙로 187,정,126.985531171734,37.49570856093374
방이점,서울시 송파구 오금로 11길 7,02-415-5561,서울특별시 송파구 오금로 11길 7,정,127.1079677779601,37.51455615261928
방배역점,"서울시 서초구 효령로 117  3,4층",02-521-4562,"서울특별시 서초구 효령로 117 3,4층",정,126.99693944248153,37.48146213373732
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523,서울특별시 강남구 봉은사로 628 엘슨빌딩1층,정,127.06416664521426,37.51467305921827
남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층,02-523-3671,서울특별시 서초구 서초중앙로 43 로얄타워1층,정,127.01557716809667,37.48553845589538
강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층,02-563-3655,서울특별시 강남구 테헤란로4길 28 826-28호 1층,정,127.0300941589309,37.49652247257477
매봉역점,서울시 강남구 논현로 38길 42 418호,02-529-9947,서울특별시 강남구 논현로 38길 42 418호,정,127.0450535020154,37.48557451547229
광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층,02-3210-2326,서울특별시 종로구 서린동 136 센트리얼빌딩 1층,정,126.97886068673003,37.56978500519584
동부이촌동점,서울시 용산구 이촌로 303 현대아파트상가11동102호,02-792-3677,서울특별시 용산구 이촌로 303 현대아파트상가11동102호,정,126.97951342469237,37.51835220249612
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330,서울특별시 강남구 테헤란로87길 36 공항타워 1층,정,127.05859721722906,37.51023392128358
청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622,"서울특별시 강남구 도산대로 67길 7,파크빌딩 1층",정,127.04438725128527,37.52448809940236
대학로점,서울시 종로구 대학로 10길 5 1-60호,02-762-3146,서울특별시 종로구 대학로 10길 5 1-60호,정,127.00258033929286,37.58186158625251
홍대역점,서울시 마포구 홍익로 6길 26,02-333-4278,서울특별시 마포구 홍익로 6길 26,정,126.92326431252171,37.555468976898865
경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외,02-730-8896,서울특별시 종로구 새문안로3길 23 경희궁아침상가4단지105외,정,126.97224392604993,37.57254785037314
종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층",02-738-5333,"서울특별시 종로구 청계천로 83 11-4호 지하1,지상1~3층",정,126.98673253686685,37.568483566854326
소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층,02-753-8004,서울특별시 중구 남대문로7길 16 한컴빌딩 1층,정,126.98116291091794,37.56416520361909
순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층,02-2220-8198,서울특별시 중구 순화202 1-94 프레이저플레이스레지던스1층,유,126.97218355248673,37.55948767400997
순화동라마다호텔점,서울시 중구 칠패로 27 151호,02-3789-3347,서울특별시 중구 칠패로 27 151호,정,126.9720357260746,37.56026697345149
강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호,02-3424-5480,서울특별시 광진구 광나루로56길 85 테크노마트9층35호,정,127.09569153142348,37.53572460003108
왕십리민자역사점,서울시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,02-2200-6120,서울특별시 성동구 왕십리 광장로 17 왕십리민자역사ENTER6내1층,정,127.03839453898165,37.561441913775404
고대안암역점,서울시 성북구 개운사길8 101-3 1층,02-953-6652,서울특별시 성북구 개운사길8 101-3 1층,정,127.02957315758631,37.58698733497133
외대앞점,서울시 동대문구 이문로 106 1~3층,02-959-7750,서울특별시 동대문구 이문로 106 1~3층,정,127.06021694329038,37.596066666543074
세종문화회관옆점,서울 종로구 새문안로 9길 25 1층,02-720-5561,서울특별시 종로구 새문안로 9길 25 1층,정,126.97548145341456,37.571350870771155
건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,02-444-9861,서울특별시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층,정,127.0711366475323,37.538788261751016
신촌역앞점,"서울시 서대문구 신촌역로 20  27-27,16,65,61호",02-312-5568,"서울특별시 서대문구 신촌역로 20 27-27,16,65,61호",정,126.943137302648,37.558363962534834
신촌점,서울시 서대문구 창천 18-26호 B1,02-363-5572,서울특별시 서대문구 창천 18-26호 B1,정,126.93738781920146,37.556319715783104
중계동은행사거리점,서울시 노원구 한글비석로 263 1층,02-931-3055,서울특별시 노원구 한글비석로 263 1층,정,127.0764707363585,37.65120978877508
여의도34번지점,서울 영등포구 국제금융로 52 심팩빌딩 1층,02-783-2043,서울특별시 영등포구 국제금융로 52 심팩빌딩 1층,정,126.92950594861873,37.522728952835315
목동점,서울시 양천구 목동동로 293 현대41타워1층,02-2654-5981,서울특별시 양천구 목동동로 293 현대41타워1층,정,126.87577203345768,37.52817803168188
하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층",02-733-5108,"서울특별시 종로구 사직로 130,1 현대적선빌딩1층",정,126.97306310956066,37.57586125024215
서울스퀘어점,서울시 중구 한강대로 416 지하1층,02-6456-8907,서울특별시 중구 한강대로 416 지하1층,정,126.97375106569055,37.5555037970402
여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,02-783-6058,서울특별시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,정,126.92458636761239,37.52251670422388
인천구월동점,"인천광역시 남동구 예술로 138 지상1,2층",032-421-3418,"인천광역시 남동구 예술로 138 지상1,2층",정,126.70100646407253,37.4462417887199
시흥홈플러스점,서울시 금천구 시흥대로 201 1층,02-803-9994,서울특별시 금천구 시흥대로 201 1층,정,126.90079477916682,37.45190426307769
여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층,02-780-7758,서울특별시 영등포구 여의서로 43 한서리버파크2층,정,126.92484290095878,37.53072925927393
부산광복동점,부산광역시 중구 창선동 2가 8-2,051-243-9105,부산광역시 중구 창선동 2가 8-2,대,129.03070551298947,35.1061076674147
분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,031-705-3188,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,정,127.12186588323942,37.38513059853061
일산라페스타점,경기도 고양시 일산동구 장항동 764 라페스타C동,031-907-2326,경기도 고양시 일산동구 장항동 764 라페스타C동,정,126.76858599272336,37.66156694246596
분당서현점,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",031-705-8926,"경기도 성남시 분당구 분당로53번길 11 1층2,3호",정,127.12155267376802,37.3840677720367
대전탄방동점,대전시 서구 문정로76 1층,042-471-9805,대전광역시 서구 문정로76 1층,정,127.38769591316257,36.34641782172691
일산웨스턴돔1호점,경기도 고양시 일산동구 정발산로 24 I동103~203호,031-931-5573,경기도 고양시 일산동구 정발산로 24 I동103~203호,정,126.77265617799343,37.65482477870878
분당차병원점,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",031-781-0471,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",정,127.12636088090024,37.41102162207955
동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,031-8003-8374,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,정,127.07467930545455,37.20584132256386
분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,031-713-9937,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,정,127.11231216990224,37.37813200222427
국기원사거리점,서울시 강남구 테헤란로 8길 42 1층,02-552-7106,서울특별시 강남구 테헤란로 8길 42 1층,정,127.03217528148318,37.496158470983154
무교CBTL점,서울 중구 세종대로 136 파이낸스빌딩,070-4140-7003,서울특별시 중구 세종대로 136 파이낸스빌딩,정,126.97825647100764,37.568423877606975
고대세종캠퍼스점,세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층,044-862-5144,세종특별자치시 세종로 2511 고대세종캠퍼스호연학사4관1층,정,127.28364462861992,36.60957457218337
창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,055-211-0737,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,정,128.68081174416054,35.223491676471156
일산킨텍스현대백화점점,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F,031-822-3575,경기도 고양시 일산서구 대화동 2602 현대백화점킨텍스점 5F,정,126.75150155062919,37.66792123624234
무교점,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4",02-753-2374,"서울특별시 중구 태평로1 84호 SFC빌딩B1,1-4",정,126.97773910965135,37.56842670034874
올림픽플라자점,서울시 송파구 양재대로 1222 올림픽선수A 1층212~3호,02-402-3571,서울특별시 송파구 양재대로 1222 올림픽선수A 1층212~3호,정,127.13226300529966,37.51568076987147
남대문점,서울시 중구 후암로110 581호 서울시티타워1층,02-777-4217,서울특별시 중구 후암로110 581호 서울시티타워1층,정,126.97404820538075,37.554303623621244
뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층,02-545-3181,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,정,127.02742675813728,37.52442055106038
코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,정,127.05711410749763,37.512944160965084
테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층,02-558-7101,서울특별시 강남구 테헤란로 312 707-2번지1층,정,127.04504322574776,37.502933770369914
청주점,충북 청주시 상당구 상당로69번길20 2~4층,043-221-2373,충청북도 청주시 상당구 상당로69번길20 2~4층,정,127.48930090546767,36.6345365082943
청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",043-238-3151,"충청북도 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",정,127.42420173010824,36.644500567890724
대학로마로니에점,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층",02-742-3318,"서울특별시 종로구 대학로 12길 62 지하1층,지상1,2층",정,127.00370465685444,37.58139942178902
디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층,02-2210-9484,서울특별시 구로구 경인로 662 디큐브시티 4층,정,126.88821364888041,37.50812409475955
충무로극동빌딩점,서울시 중구 퇴계로 173 남산스퀘어 1층,02-2273-3181,서울특별시 중구 퇴계로 173 남산스퀘어 1층,정,126.99105865207638,37.561826015388554
안국역점,"서울시 종로구 율곡로 47 1,2층",02-722-3356,"서울특별시 종로구 율곡로 47 1,2층",정,126.9845862543222,37.57633575706742
여의도역점,서울시 영등포구 의사당대로 108 아일렉스상가 1층 101호,02-784-5531,서울특별시 영등포구 의사당대로 108 아일렉스상가 1층 101호,정,126.92399246820577,37.52101486171475
선릉로86길점,서울시 강남구 선릉로86길 11,02-2051-8875,서울특별시 강남구 선릉로86길 11,정,127.0505871248049,37.50340477025462
삼청동점,서울시 종로구 삼청로 109,02-730-5177,서울특별시 종로구 삼청로 109,정,126.98177490621956,37.585134093948994
강남역먹자골목점,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층,02-552-6311,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,정,127.027288147995,37.50010679835605
서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층",02-882-3101,"서울특별시 관악구 관악로 161 층일부 2,3층",정,126.95218462151288,37.47960820444831
인사점,서울시 종로구 낙원동 272 오라카이스위츠 1층,02-6262-8100,서울특별시 종로구 낙원동 272 오라카이스위츠 1층,정,126.98733421956548,37.57300705948503
뉴교보타워옆점,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",02-591-5177,"서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",정,127.02488289340184,37.50236045984148
포스코사거리점,서울시 강남구 테헤란로 439,02-508-7522,서울특별시 강남구 테헤란로 439,정,127.05518718194762,37.50682931783316
상암SBS미디어센터점,서울시 마포구 상암산로 82 SBS프리즘타워 1층,02-2039-9027,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,정,126.89277358401814,37.57971546093238
현대자동차성내점,"서울시 강동구 천호대로 1096 1,2F",02-485-3361,"서울특별시 강동구 천호대로 1096 1,2F",정,127.13322900405707,37.53519727210305
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층,02-783-3391,서울특별시 영등포구 국제금융로 20 1층,정,126.92729671502062,37.5248869118282
서초뱅뱅사거리점,"서울시 서초구 강남대로 267 2,3층",02-523-8841,"서울특별시 서초구 강남대로 267 2,3층",정,127.03233721607072,37.487169847991694
이태원점,서울시 용산구 이태원로 189,02-794-3361,서울특별시 용산구 이태원로 189,정,126.99492271615286,37.53487060667575
선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층,02-552-3177,서울특별시 강남구 선릉로93길 6(역삼동) 1층,정,127.04789978001727,37.50568576935738
삼성로점,"서울시 강남구 삼성로 551 1층,2층",02-552-9311,"서울특별시 강남구 삼성로 551 1층,2층",정,127.05414987413042,37.510710260971
삼성금융플라자점,서울 강남구 테헤란로 419 삼성금융플라자1층,02-554-7591,서울특별시 강남구 테헤란로 419 삼성금융플라자1층,정,127.05218055532302,37.50587062979253
IFC MALL2호점,서울시 영등포구 국제금융로10 IFC B2층,02-6137-5054,서울특별시 영등포구 국제금융로10 IFC B2층,정,126.92487602368978,37.52517710110054
시청역7번출구점,서울시 중구 세종대로84 2층,02-754-8852,서울특별시 중구 세종대로84 2층,정,126.97717933961101,37.56366360640031
마리오아울렛점,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층,02-857-5501,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층,정,126.88647700952225,37.47872012551434
수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층,031-233-5631,경기도 수원시 팔달구 권광로 195 학산빌딩1층,정,127.03268512048452,37.26494738096654
역삼역4번출구점,서울시 강남구 테헤란로143 고운빌딩1층,02-508-1137,서울특별시 강남구 테헤란로143 고운빌딩1층,정,127.0348988796034,37.50062103817486
뉴가로수길점,서울시 강남구 가로수길 83,02-544-7105,서울특별시 강남구 가로수길 83,정,127.02231937004633,37.52353199947175
목동트라팰리스점,서울시 양천구 오목로 299 트라팰리스 이스턴에비뉴 1층,02-2643-7725,서울특별시 양천구 오목로 299 트라팰리스 이스턴에비뉴 1층,정,126.87115672183654,37.52542877001984
현대자동차남양연구소점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,031-357-8103,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,대,126.8098240262058,37.16074335152608
일산원마운트점,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,031-961-6520,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,정,126.75452651780054,37.66455404085526
광화문역1번출구점,서울시 종로구 새문안로5가길 7 1층 일부,02-723-3360,서울특별시 종로구 새문안로5가길 7 1층 일부,정,126.97403839326529,37.5727712806857
남양연구소C1식당점,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,031-357-8172,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F,대,126.8098240262058,37.16074335152608
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층,02-785-8845,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,정,126.92458636761239,37.52251670422388
부평문화의거리점,"인천광역시 부평구 시장로29 1,2층",032-507-9901,"인천광역시 부평구 시장로29 1,2층",정,126.7256151976691,37.49367327284156
판교아브뉴프랑점,경기도 성남시 분당구 동판교로177번길 25,031-8016-8131,경기도 성남시 분당구 동판교로177번길 25,정,127.11356210043837,37.39732103088378
CBTL(커피빈)파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008,서울특별시 강남구 테헤란로521 파르나스몰 지하1층,정,127.06080747811988,37.50919117643693
압구정현대아파트점,서울시 강남구 압구정로29길65 지하1층,02-518-3350,서울특별시 강남구 압구정로29길65 지하1층,정,127.02700323670018,37.531810862828436
구로G-ValleyMall,서울시 구로구 디지털로300 지밸리비즈플라자 2층,02-6344-3966,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층,정,126.8965383362684,37.484926403481474
상봉엔터식스점,서울시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층,02-437-8891,서울특별시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층,정,127.09162417446612,37.59833283078256
낙성대역점,"서울시 관악구 남부순환로1909 1,2층",02-875-3364,"서울특별시 관악구 남부순환로1909 1,2층",정,126.96160663976136,37.47811199245479
타임스퀘어점,서울시 영등포구 영중로15 타임스퀘어 1층,02-2635-8830,서울특별시 영등포구 영중로15 타임스퀘어 1층,정,126.90437835969374,37.516872310468564
내방역7번출구유중아트점,서울시 서초구 방배로178 유중아트센터1층,02-592-8861,서울특별시 서초구 방배로178 유중아트센터1층,정,126.99284286897439,37.48954333664947
강남대로센터점,서울시 강남구 강남대로442 흥국화재빌딩 2층,02-565-3345,서울특별시 강남구 강남대로442 흥국화재빌딩 2층,정,127.02605618577263,37.50206502077411
남양연구소PT동점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,031-355-1346,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층,대,126.8098240262058,37.16074335152608
오리역애플플라자점,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층,031-715-5638,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층,정,127.10668583676883,37.34161104124961
차병원사거리점,서울시 강남구 봉은사로207 KJ타워1층,02-542-8813,서울특별시 강남구 봉은사로207 KJ타워1층,정,127.03466287215593,37.50784088972087
포항영일대점,경상북도 포항시 북구 삼호로265번길1 NB-City복합시설1층104호,054-241-3372,경상북도 포항시 북구 삼호로265번길1 NB-City복합시설1층104호,정,129.37965809122167,36.06154101760333
도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,02-551-6456,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층,정,127.05944326417,37.50963226851808
올림픽공원북2문앞점,서울시 강동구 강동대로193 1층,02-471-2372,서울특별시 강동구 강동대로193 1층,정,127.12801509150073,37.52456387779069
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,02-782-1125,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층,정,126.92969786955156,37.521808698380575
광장동대한제지점,서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,02-458-8166,서울특별시 광진구 아차산로563(광장동) 대한제지빌딩 로비층,정,127.1029301379954,37.54413446574032
이태원제일기획옆점,서울시 용산구 이태원로220(한남동) 1층,02-792-3560,서울특별시 용산구 이태원로220(한남동) 1층,정,126.99848391724751,37.534817281421134
현대프리미엄아울렛김포점,경기 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호,031-8048-2618,경기도 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호,정,126.78562770145263,37.599409357278944
진주LH본사점,경상남도 진주시 충의로 19 LH진주사옥 홍보관1층,055-763-3520,경상남도 진주시 충의로 19 LH진주사옥 홍보관1층,정,128.1447576887272,35.17901829838249
강남역GT타워옆점,서울시 서초구 서초대로73길12 세계빌딩1층,02-592-0053,서울특별시 서초구 서초대로73길12 세계빌딩1층,정,127.0257322522954,37.49854481688068
신천역점,서울시 송파구 올림픽로100 효창타워1층,02-417-8851,서울특별시 송파구 올림픽로100 효창타워1층,정,127.08168827895024,37.511415808685456
송도홈플러스점,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,032-822-5905,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층,정,126.65637201734559,37.38022559225424
신논현역점,서울특별시 강남구 봉은사로108 글라스톤빌딩1층,02-569-9061,서울특별시 강남구 봉은사로108 글라스톤빌딩1층,정,127.02559253677535,37.50453468353491
인천공항탑승동105gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,032-743-7223,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68,정,126.44910581361283,37.457537048269906
을지로입구역점,"서울시 중구 남대문로10길 6 1,2층",02-752-3348,"서울특별시 중구 남대문로10길 6 1,2층",정,126.98325023389623,37.566882005129045
광교아브뉴프랑점,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",031-216-9308,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호",정,127.05051538002813,37.290672571692035
경주미탐시티점,경상북도 경주시 엑스포로80(천군동)1층,054-777-5982,경상북도 경주시 엑스포로80(천군동)1층,유,129.28986847197416,35.83455684163351
인천공항탑승동130gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,032-743-7213,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57,정,126.44910581361283,37.457537048269906
고대참살이길점,"서울시 성북구 인촌로24길 25 (안암동5가) 2층,3층",02-923-7735,"서울특별시 성북구 인촌로24길 25 (안암동5가) 2층,3층",대,127.0280534517771,37.607099130775744
석촌호수점,서울시 송파구 석촌호수로 222 제이타워 1층,02-415-1235,서울특별시 송파구 석촌호수로 222 제이타워 1층,정,127.10155315512004,37.50706872852648
이천하이닉스점,경기 이천시 부발읍 하이닉스반도체,031-8094-7013,경기도 이천시 부발읍 하이닉스반도체,대,127.49685224574073,37.27006648771278
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,02-552-3363,서울특별시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,정,127.06289712673247,37.50708974856598
수원망포역점,경기도 수원시 영통구 영통로 214번길 8 1층,031-273-8751,경기도 수원시 영통구 영통로 214번길 8 1층,정,127.05757614155075,37.246231765314754
